Name,ID,HomePlanet,BloodSample
 Bekele Prakash, 8385864, Censa III,  +--------+  |oopc ooc|  |oc i ici|  |p c   ic|  |p p co p|  |coc  i o|  |o cp pp |  +--------+
 Haitao Gogoi, 3088103, Cenus VII,  +--------+  |o   ccpc|  |oc occcp|  |i  cp  p|  |c pcc c |  |ccpococ |  |pi  cccc|  +--------+
 Sani Getachew, 7096381, Gamma Austra,  +--------+  |  coppo |  |o c c cc|  |oppiocpo|  | icipopp|  | io ppio|  |p c i  o|  +--------+
 Solomon Jiang, 7688057, Scorvus,  +--------+  | pppcopp|  | cc op p|  |iociip  |  |ii ooci |  | p o poi|  |o  ioicp|  +--------+
 An Harris, 3711405, Comeles III,  +--------+  | cco cci|  |  o pi i|  | p o p p|  | cp cc c|  |oco oip |  | pp  po |  +--------+
 Sylvie Mahato, 3998048, Beta Lacorna Major,  +--------+  |  ppopc |  |pcicipp |  |pppo oi |  |oop c i |  | occipi |  |icop o o|  +--------+
 Lorena Borges, 2114234, Arater V,  +--------+  |iioi pio|  |poo ipci|  |o opi p |  | o  popo|  |c o cipi|  | ii io  |  +--------+
 Ibrahim Montoya, 9237089, Corpius,  +--------+  |cpcc   o|  |cpoioccp|  |pp ccipc|  |pcco cco|  |p o o  o|  |  oco oi|  +--------+
 Adel Abe, 2711500, Beta Geminor Minor,  +--------+  | poo pop|  |cc  c c |  | cppoi  |  |  ocp p |  | c i pp |  |piic  p |  +--------+
 Pablo Sheik, 5542481, Alpha Centa III,  +--------+  |ipioooop|  |icp    i|  | cpioi  |  |ooi c co|  |cipo p c|  |o coo  i|  +--------+
 Guillermo Cui, 2244912, Gamma Pisci,  +--------+  |pc      |  |pi c pcp|  | iioicpp|  |cpic  oo|  |i p occ |  |oc o oio|  +--------+
 Wei Tanaka, 3076468, Gamma Canus VI,  +--------+  |i iipo o|  |  ipoop |  |c coii p|  |ocpcc cc|  |pco p cc|  |coi pcoo|  +--------+
 Jianhua Ma, 3267357, Alpha Marida,  +--------+  | o ii  o|  |iicoi  p|  | pi ccic|  |  pio p |  |i p cpic|  |oco i   |  +--------+
 Andreas Fernando, 1446102, Gamma Eridang,  +--------+  |cc cppp |  |o cic  o|  | pooii c|  |c oooo  |  |i  ip   |  |i pc   c|  +--------+
 Ernesto Velasquez, 3206773, Beta Marius,  +--------+  | pipioi |  |   cpoi |  |op p    |  |p  pop  |  | ii ooic|  |pcpp   i|  +--------+
 Zhijun Guevara, 5771398, Gamma Doroma,  +--------+  |ipc o i |  |pipp ppi|  | po p oo|  |pi occ o|  |  oc  ip|  |pc poo  |  +--------+
 Jan Thin, 9754063, Plumba III,  +--------+  | p coo o|  |  o io c|  | c p c i|  | oco  p |  |  i  ioo|  |icc opoi|  +--------+
 Shirley Ali, 4093239, Geminus VII,  +--------+  |   ccc c|  |pc  c oi|  |oc oioio|  |cop  pop|  |  c i p |  | po o c |  +--------+
 Hilda Collins, 7186812, Caron,  +--------+  | c ipop |  |ciipp pi|  |cp pc oi|  |ccoppi  |  |i c cpio|  |c p i cc|  +--------+
 Aya Bo, 8385088, Sculum VI,  +--------+  | cp  p  |  |ci c o i|  |p ipoopo|  |poi p  p|  |poo   io|  |cpo icoi|  +--------+
 Monica Miguel, 9583499, Earia,  +--------+  |c oi p  |  | p i    |  |  ccipip|  |pii pc o|  |    ii  |  |opoi op |  +--------+
 Maria Vera, 3963951, Satersa,  +--------+  |p  oo i |  |p  i p i|  |  o ppip|  |cpco  ii|  |  io  i |  |iop c ip|  +--------+
 Sani Taylor, 3442552, Vulumba Minor,  +--------+  | o cc oi|  |coi po o|  | pcooc i|  | oo i   |  |pc oocci|  |  oo  i |  +--------+
 Mehmet Nath, 2846026, Beta Cances,  +--------+  | pccco o|  |oo  pcio|  |cccicpci|  |o  ciocp|  |co  c   |  | o  oiop|  +--------+
 Satish Yildiz, 7874156, Alpha Pega,  +--------+  |c cppo p|  |io   pic|  |oc c i  |  |i cpc  o|  | i p ocp|  |  pppo  |  +--------+
 Yumei Velasquez, 5948613, Alpha Chama,  +--------+  | oi o ic|  | io oc c|  |  ci pco|  |pi co op|  |    ccc |  |i poooco|  +--------+
 Tien Khan, 9722630, Beta Aquule,  +--------+  |cc po   |  |iiici cc|  |c opi p |  |pio  oco|  | iipppci|  |c oo   p|  +--------+
 Nur Kuang, 8027780, Serpeia,  +--------+  |i i o oo|  |iiopoc p|  |i oo   p|  |oioci o |  | cci   o|  |   oic o|  +--------+
 Chi Pineda, 4675286, Gamma Scurna,  +--------+  |iiccc op|  |o   o  p|  |oi  popo|  |iop   ic|  | i i   o|  | o pc  c|  +--------+
 Parvati Stewart, 2704729, Beta Cora,  +--------+  |o c  o  |  |    pcp |  |icoci po|  | iiiio i|  | pp cpp |  | io iio |  +--------+
 Isabelle Sui, 6838998, Deleo,  +--------+  |occo   p|  |ooo pccp|  |oio   op|  |i p  ipc|  | ococ io|  |cpp o io|  +--------+
 Ca Hoque, 9409130, Pupius,  +--------+  |  o pi  |  |cc p   p|  |p pc i  |  |i ooocic|  |oo  co i|  |ipco  ci|  +--------+
 Leticia Geng, 8475314, Algo,  +--------+  |  o cooo|  |i p   oo|  | ic  p  |  |coc co p|  |  pco o |  | coop i |  +--------+
 Alice Costa, 5646325, Alpha Forvus,  +--------+  | i i  p |  |ciopcoo |  |pociiioi|  |pp ci pp|  | ii op o|  |po  o  c|  +--------+
 Adriana Che, 2945162, Gamma Charsa II,  +--------+  | op p oc|  | opp cc |  |po    ii|  |pccoocci|  |ioioiiip|  |   oc op|  +--------+
 Richard Ni, 5496146, Opheus Minor,  +--------+  | ici iio|  |c cpppo |  | ci cco |  |pipc  oo|  |c icio c|  | oipcop |  +--------+
 Claudio Habib, 6307342, Fora,  +--------+  |c co i c|  |o     po|  |i  c p c|  |p cpc  c|  |i  c    |  |ppo ici |  +--------+
 Josef Gomez, 5539453, Alpha Monoces,  +--------+  |ic  ioio|  |p ppop i|  |co p  c |  |ip po pp|  | ipcici |  |oiopccio|  +--------+
 Kirill Awad, 6899068, Cassion,  +--------+  |co c i p|  |icp   i |  |  op cip|  |iop   oc|  |c   cip |  |p pip pp|  +--------+
 Mira Nawaz, 9463789, Gamma Lephius VII,  +--------+  | i iipo |  |cccip  c|  |o  co i |  |o  ooocc|  |pipcpcci|  |coop p  |  +--------+
 Nusrat Ahmed, 7179932, Ceticor,  +--------+  | pip iii|  |pi cooip|  | oioc   |  |ic    p |  |p coo  p|  |   ppoo |  +--------+
 Hatice Hossen, 5301131, Puppius,  +--------+  |cip ccoo|  |po ii   |  |ii p ipo|  | oic poo|  |pic   oo|  | ici p  |  +--------+
 Wei Celik, 7150806, Venta,  +--------+  | c  o pi|  |c o o  p|  |c p i   |  |i p   ip|  |oc iopp |  |  cp ioc|  +--------+
 Ran Guevara, 4521852, Charida,  +--------+  |iic     |  |  i ciii|  |ipc  opo|  | o  p i |  |   ci ii|  |iic  oo |  +--------+
 Theresa Mia, 2514655, Herth,  +--------+  |c  o pi |  |   oc pc|  |  oiopic|  | o p opi|  | cp oiio|  |copp  o |  +--------+
 Mohammed Girma, 5012388, Beta Urado,  +--------+  |c p p   |  |o  pccp |  |cop i ic|  |i oci co|  | i  po  |  |po p  ip|  +--------+
 Faisal Fang, 7702480, Arale,  +--------+  | pipc o |  | i cciop|  |  o op c|  | i     i|  |p  o ii |  |ppp  pp |  +--------+
 Surendra Weng, 4466990, Arion,  +--------+  | opioo  |  | ccoo op|  |ccp i p |  |ioo iic |  |c  ic cc|  |   p oc |  +--------+
 Marwa Bello, 9439529, Octa V,  +--------+  |pioii   |  | pip ppp|  |pcp ic  |  | ppcooo |  |oc   ioo|  |oopo cii|  +--------+
 Dilip Cheng, 6162874, Oris,  +--------+  |po  oip |  |ipcp    |  |  pccc c|  |oop   pp|  |po i i  |  | cip cip|  +--------+
 Daniel Roberts, 2170410, Tucanis V,  +--------+  |occicccp|  |oo  p  c|  |i p iipi|  | cicopo |  | cpp o  |  |   ci ip|  +--------+
 Laila Phillips, 4488197, Canus III,  +--------+  | c  oo p|  | ooci oc|  | io ip p|  |  pi oo |  |o   poci|  |p iop oc|  +--------+
 Wei Collins, 6353857, Venta II,  +--------+  |c occi  |  |p copc o|  |c  o  cp|  | io icio|  | io  i i|  |p c opip|  +--------+
 Hoang Sardar, 6182722, Corpius Minor,  +--------+  |cpc     |  |oiic  o |  |pc   p i|  |ppo   c |  | icppc c|  |ppcpopp |  +--------+
 Eduardo Saha, 2561345, Phoeni V,  +--------+  |ipc ccco|  | pp ippc|  |c coop o|  |cpoc  p |  | oc c po|  |oiic o  |  +--------+
 Gerhard Gou, 9741110, Beta Corenus Major,  +--------+  |ii c pop|  |p  o  oo|  |popicocc|  |o o oici|  |  c i  i|  |pp o o p|  +--------+
 Luisa Fernando, 7966826, Laco III,  +--------+  | pc po o|  |p  o iio|  |pop pccp|  |ioiopi  |  |  i  ipo|  |ppoi  pp|  +--------+
 Shankar Bi, 2922090, Alpha Algo,  +--------+  |  oc ioc|  |oci oc  |  |    op  |  |o   c p |  |oi   ii |  |icppo  o|  +--------+
 Asha Ahamed, 8391453, Ariang V,  +--------+  |o  po  c|  |o  ppoic|  |pcooo  i|  |ccp p  o|  |c iipii |  |poop  c |  +--------+
 Joy Giri, 9002902, Cralis V,  +--------+  |  ocp ip|  |p ioic  |  | oi p pp|  |cp   i  |  |o      c|  | i ippcp|  +--------+
 Ahmed Mohsen, 6223132, Canax V,  +--------+  |pcii   i|  | icc io |  |ooio oop|  | c  ciop|  |    o ci|  |p ciopc |  +--------+
 Karl Valenzuela, 7094174, Gamma Sextane Minor,  +--------+  |po   oo |  |   oi cp|  |pooipop |  |occ  p o|  |   o  oc|  |p  oopo |  +--------+
 Ali Shang, 9083083, Cani Major,  +--------+  |cppic cc|  |    oio |  |po  p  i|  |pp oo pc|  |i p   pp|  | c i ip |  +--------+
 Cheryl Martins, 3928622, Orcurna,  +--------+  |ooo oii |  | po i oc|  |iocpp op|  | oi  i i|  |iii p c |  |  pp c o|  +--------+
 Lucas Ghulam, 3955177, Caprius VI,  +--------+  | ip ocic|  |o o c  p|  |piiipc i|  | c pccpp|  |ipiipc  |  |  i i   |  +--------+
 Shahid Saputra, 1077749, Cansa Minor,  +--------+  | iip   o|  |cio o i |  |oc i coc|  |iiooioo |  | cc p oc|  |c   i  o|  +--------+
 Evelyn Juarez, 8627359, Berpeia,  +--------+  | opo   c|  |  ioip o|  |p  iicpi|  |  oopipp|  |iocicpii|  |pop cicp|  +--------+
 Rosemary Kasongo, 9096395, Beta Antlis,  +--------+  | pi oip |  |oipcpo p|  |iico p c|  |o   ooop|  |c p  c o|  | ppp coi|  +--------+
 Faisal George, 5599152, Caprion,  +--------+  |cc opo  |  | piip  i|  |pcc ccc |  | i cpc p|  |p o ci  |  |pcoo o o|  +--------+
 Charles Walker, 9850560, Ceticor,  +--------+  |picip op|  |ci op  i|  |ciiipi c|  | cpiopo |  |   cpipp|  |ppip oo |  +--------+
 Hassan Mun, 7476553, Beta Charos III,  +--------+  |io o cpo|  |iopi p i|  | op   oo|  | cc   ci|  |icci  pi|  |o oi poc|  +--------+
 Lorena Banerjee, 2168277, Phoenta,  +--------+  |  ooc pi|  |ppicip  |  | i  oc p|  |  po i p|  |c ocp oo|  |o i cpoo|  +--------+
 Beatrice Elias, 3693332, Octanis,  +--------+  | ci  pop|  |ccppc  o|  |c pcc op|  |cici  oc|  |ooip  c |  |pc c  oi|  +--------+
 Masako Nong, 8094440, Maron III,  +--------+  |ic cipp |  | occocoo|  |occpoopc|  |o      c|  |o pc opo|  |o o  i  |  +--------+
 Antonio Ba, 3180054, Beta Hercus III,  +--------+  |cp  p   |  |c  c   c|  | p   p o|  |iic   oi|  |oc oiioi|  |cc   cpo|  +--------+
 Farzana Oraon, 8849706, Gamma Satung VII,  +--------+  |pi icp c|  |p cp  c |  |cciiii  |  |oop    c|  | oo pop |  |p ii pci|  +--------+
 Victoria Morales, 5867921, Veleus,  +--------+  |  cccpic|  |oopiipip|  |c    oc |  |o ip ci |  |co ioocc|  | cic oi |  +--------+
 Anton Silva, 9616713, Taury VI,  +--------+  |  cp p i|  |p  ippi |  |ocp  ioc|  |o pooc i|  |  c iop |  |iic p   |  +--------+
 Susana Navarro, 7411639, Gemina,  +--------+  | p op  i|  |iccp   i|  |i  iipop|  |ip  ccip|  |ippcciop|  |io pio o|  +--------+
 Khadija Hong, 2558935, Androna,  +--------+  |o  ppc i|  | i opicc|  |c   o  o|  |  cc ii |  |i iippii|  |o iii oo|  +--------+
 Zhihong Paramar, 8977122, Earion Minor,  +--------+  | oc o i |  |ci  pp p|  |coiccpii|  |iooci   |  | i ciico|  |c piioo |  +--------+
 Robert Ni, 3417711, Earinus,  +--------+  |  ioiooi|  |i   cp o|  |    i ic|  |cii oppi|  | ico io |  |  p oipc|  +--------+
 Samuel Zheng, 4836806, Orcurna,  +--------+  |opc  pco|  |pci pp  |  | o oicic|  |o cp i c|  |    pcii|  |ppcicp o|  +--------+
 Raja Lam, 9106085, Alpha Caprius,  +--------+  |op p i o|  |p cp op |  |cii  p p|  |co  c  o|  |p o c ii|  |  p p ip|  +--------+
 Terry Devi, 9102961, Orcurna,  +--------+  |poi cp p|  |   ci i |  | ccicoii|  |oo icio |  | ci pooi|  |cipcpc  |  +--------+
 Christian Kebede, 1658707, Eartans V,  +--------+  |i  i poc|  |op ic  p|  | pp p  i|  |c  ocoo |  | pcoip c|  | c  opop|  +--------+
 Patricia Hoang, 7965692, Boroma,  +--------+  |coi   o |  | ccpii p|  |ciipo  o|  |cco  ipp|  |iippci  |  |ci  i ip|  +--------+
 Jin Reyes, 1394048, Drane,  +--------+  |oipioppi|  |cioc pi |  |p  p cc |  |pioipip |  |   pic c|  |c o ci o|  +--------+
 Pavel Ge, 3818570, Earius,  +--------+  |pioii p |  |po  ppo |  |c  coooi|  | pio ccp|  |  i cc o|  |o o ioii|  +--------+
 Wilson Kebede, 5649896, Alpha Vele,  +--------+  |pc    o |  |i      i|  |oi  o ci|  |  i po p|  | cp  p p|  |o    oco|  +--------+
 Pierre Said, 1906059, Earion Minor,  +--------+  |  pco cp|  |oi o   i|  |pp pp  o|  |  i ooi |  |i     co|  | iippcio|  +--------+
 Jan Ju, 9830565, Cardani,  +--------+  |io coip |  |     pci|  |i  i cip|  | c cpcop|  | poic ip|  | opooiop|  +--------+
 Nada Kasongo, 3929035, Orculeo VI,  +--------+  |oi opo  |  |i o ipii|  | coi cc |  |oip  pp |  |ic i    |  |o ci pc |  +--------+
 Raj Otieno, 4731327, Beta Chariga Major,  +--------+  |  p p io|  | ocpocii|  |pc    ci|  |p   pco |  |opipp ip|  |ippo i p|  +--------+
 Zhijun Nascimento, 2618778, Sexta VI,  +--------+  | pc co  |  |i oopcip|  |i  iicpi|  |cp i  c |  | o    ip|  |  p p cc|  +--------+
 Petra You, 7876938, Cetices,  +--------+  | p oci p|  | oicic o|  |ioi ppo |  |  op poi|  |o o i oo|  |pp  cco |  +--------+
 Tatyana Tian, 3590052, Alpha Mens,  +--------+  |p p   po|  |  ppipo |  |pcicoiip|  |p  ccp p|  |ic ic pp|  | ocp  p |  +--------+
 Sai Manjhi, 7496810, Alpha Minus Major,  +--------+  |  ci  pc|  |  i pppi|  | o pc p |  |pc i opc|  |poo oco |  |opc  c p|  +--------+
 Fernando Qu, 2422495, Retung,  +--------+  | po  pci|  |ic ciiip|  |i o o   |  |ci o ipp|  |co ccpop|  | p ciopp|  +--------+
 Steven Vieira, 4873703, Gamma Retici IV,  +--------+  |ioi pcp |  |o oppoip|  | coocp  |  |  c coci|  | opp p  |  |cciocoo |  +--------+
 Catherine Idris, 5794933, Charth VI,  +--------+  |ppp p co|  | opco   |  |  p  o o|  | oiocoic|  | i   p c|  |icipc   |  +--------+
 Maurice Lam, 8083657, Gamma Scurna,  +--------+  |i   ppc |  |iippi  o|  | ccooopc|  |ii pi o |  |   oicic|  |oippip  |  +--------+
 Thierry Magar, 9034808, Alpha Ceptus,  +--------+  |  io ic |  |cp coccp|  |c pipc o|  |oop  i i|  | p  pcpc|  | o c  pc|  +--------+
 Victoria Calderon, 5790168, Opheus,  +--------+  |cpi ooo |  | icoic  |  |pppiocoi|  |  pi o c|  |cicpc oi|  |ico  cic|  +--------+
 Manoel Cheng, 7221569, Virius,  +--------+  |pipp coc|  |op  pc i|  |ocopcp  |  |pp ooi o|  | pccpppp|  |ii c  op|  +--------+
 Luz Hamza, 1236662, Berta,  +--------+  | poi ccp|  | i    ii|  |opoioo o|  | cco  cc|  |cpo   i |  |iop  c p|  +--------+
 Faisal Gamal, 1113666, Maron III,  +--------+  | i pccc |  |io   o c|  |  ipoipo|  |cpip    |  |    cipi|  |op oppcc|  +--------+
 Xiaomei Khalaf, 6264939, Beta Equila,  +--------+  | i piic |  | o ocp o|  | p pioc |  |p p   pp|  | p i  i |  |  poocpp|  +--------+
 Melissa Nam, 1709647, Antlis VI,  +--------+  |p pc co |  | pc   i |  |o oio  c|  |ooco  ip|  | pc pipo|  |ip o  co|  +--------+
 Hans Luo, 1871194, Beta Cances,  +--------+  |p    c o|  |cpiicooc|  |copi o o|  |co   opi|  |i  o  co|  |oi c opo|  +--------+
 Leonardo Bekele, 3946469, Alpha Octanis,  +--------+  |pcioop o|  | cccppcc|  |ppcc i o|  |oocp pii|  |oopcooop|  |cc  ip i|  +--------+
 Antonio Haji, 9675370, Pisung,  +--------+  | ii cii |  |cp pp i |  |   ip p |  |ooiiicci|  | ci o i |  |ioicpiip|  +--------+
 Brian Abebe, 7775647, Retury,  +--------+  |  op pci|  |pp    p |  |i i  cpo|  |  oc ip |  | co pcpc|  |pp   icc|  +--------+
 Alejandro Michael, 4764353, Aquulum,  +--------+  |ioi i p |  |c ioop p|  |pccipiio|  |i o   pp|  |iooo o  |  | p o  i |  +--------+
 Rekha Ivanova, 4594920, Gamma Foroma Major,  +--------+  |icoo  c |  |oo  op p|  |cooc  cc|  |o p oipc|  |  p  iii|  |p  o c c|  +--------+
 Anwar Gou, 9645628, Beta Librado,  +--------+  |ci  o  c|  |oo occo |  |p c ocp |  |pcc     |  |ipccccio|  |o  ii cc|  +--------+
 Jianjun Cao, 7844458, Tauries VII,  +--------+  |c cpc  i|  | oi c ii|  |icipio  |  |i cpiccp|  |   cooic|  |cp op oo|  +--------+
 Ali Hernandez, 1415150, Alpha Craco,  +--------+  |  i co i|  |o c   o |  |cp  o   |  | opioipp|  | ip p o |  |    i  p|  +--------+
 James Biswas, 1524798, Borona,  +--------+  |  cioc  |  |ccpipco |  |oooocpio|  | po i p |  | ooco cc|  |poi    c|  +--------+
 Umar Mondal, 4396043, Monater V,  +--------+  |oopi po |  | o icpoo|  |iccicc i|  |ip   c  |  |i po co |  |c  i  i |  +--------+
 Barbara Adamou, 9314946, Beron,  +--------+  |o iccio |  |  p  c i|  |   iccc |  |p c ico |  | o i p p|  |poicpicc|  +--------+
 Stella Isa, 3599885, Pega III,  +--------+  |cic  pci|  |i iccpoi|  |iocc  c |  |pi p pp |  |  ooi  o|  |cip ppoo|  +--------+
 Lina Nelson, 3739732, Maron III,  +--------+  |coocicoc|  |cpci pco|  |o pi    |  |c o  p  |  |cpipcc  |  |cc   ipo|  +--------+
 Yin Abdalla, 1580277, Berth VI,  +--------+  |i  p cio|  |i  ocp c|  |   i i c|  |p iii c |  |p op ico|  |pcoi cio|  +--------+
 Samina Makavan, 7698914, Alpha Vele,  +--------+  |ioci  cp|  | pc c p |  |   pppip|  |oc     o|  |ocicp   |  |io c  c |  +--------+
 Hong Murphy, 5266936, Gamma Vulutor,  +--------+  |pcp oc p|  |oi   oop|  | io cocc|  | cpooi  |  |p   ocic|  |    oocc|  +--------+
 Xian Juarez, 2453535, Beta Drado VI,  +--------+  |ppiioopo|  |  c  cp |  |p ioopo |  |oicpcp o|  |pc ipcpp|  |  cp c p|  +--------+
 Valentina Elias, 9057274, Scurius,  +--------+  |pi  ipip|  | po ip c|  |pcioi p |  |o  ic i |  |  p o   |  |oipc op |  +--------+
 Masmaat Lal, 1433697, Beta Erinus,  +--------+  |pipppco |  | c ocpoi|  | p  ip c|  | pp ic i|  |i  o cci|  |pi p c  |  +--------+
 Dennis Saha, 6717827, Cralis V,  +--------+  | p  ocp |  | p oio p|  |oc  o  p|  |oii i c |  |o i iiii|  | i  ic i|  +--------+
 Linda Roman, 6075429, Venta IV,  +--------+  | oi  o i|  |i op iip|  |ocppp pp|  | ii coc |  | oc ipoi|  |c p  p  |  +--------+
 Elias Pak, 5893821, Alpha Majorn,  +--------+  | o ppoc |  |oic oi c|  |i c ioc |  |ppcicic |  |oo cccp |  |oii  iip|  +--------+
 Zhen Habib, 9055616, Maron III,  +--------+  | occi oc|  |p coo i |  |i  o  pp|  |i   coi |  | c ooipi|  |ciooopco|  +--------+
 Mark Phillips, 4565585, Uransa,  +--------+  |oioi ip |  | ic  oi |  |i p ccii|  |pc i c o|  |cpo iipp|  |c   cp o|  +--------+
 Kim Kouame, 5972880, Beta Charos III,  +--------+  |  cc  p |  |cpi o cc|  |oi co c |  |c  ioi i|  |ppcccc c|  |iopi oii|  +--------+
 Lin Abdo, 5081492, Pupiter,  +--------+  |ioc i ip|  |coopo c |  | p cioop|  | p  iic |  | oocc ip|  | o i oo |  +--------+
 Zhijun Chong, 9959092, Alpha Crus Minor,  +--------+  |pcppci c|  |op o i o|  |  c p c |  |ccococ o|  | p p p  |  |c cp   o|  +--------+
 Bashir Fatima, 9659066, Forn,  +--------+  |coii ccp|  | oppiiop|  | opip p |  |i p o po|  |io  coip|  | ip ccpi|  +--------+
 Dilip Emmanuel, 1808607, Retune,  +--------+  |ci o  cc|  |iicp o  |  | c pc cc|  |  o ico |  | p   opo|  |ooc ppio|  +--------+
 Manoel Pawar, 7052472, Equila VI,  +--------+  | ciopi p|  |ioc   i |  | p cpppp|  |p ioc  p|  |opiico  |  |c oocp c|  +--------+
 Rahul Bera, 1445681, Equila III,  +--------+  | i  c  c|  |o i  i c|  |cc o pi |  |pipiiicc|  |op ccc  |  |ippppoo |  +--------+
 Nurul Garcia, 1702817, Eariga VI,  +--------+  |ococ o  |  |oc  c ip|  | pc pc o|  |o oci  i|  | i ipic |  |o o  i o|  +--------+
 Man Dias, 9503519, Canix VI,  +--------+  |cioc ooc|  |o  co c |  |  cii ip|  |ci  p   |  |  p c i |  |pip p io|  +--------+
 Mariam Nahar, 8038580, Bornus,  +--------+  | oiooicc|  |o oiip  |  |i   pp o|  |pio op  |  |ci p pci|  | iicp   |  +--------+
 Sai Leon, 9686283, Alpha Colum Minor,  +--------+  |   i c  |  |pi  pco |  |  ccco o|  |opcio   |  | ioop pp|  |    ii o|  +--------+
 Faisal Morales, 5616203, Canicer Major,  +--------+  | ccocppc|  | op  ci |  | po pi i|  |io ic ci|  |icccoic |  |cip p pp|  +--------+
 Gerardo Sha, 6531741, Ceturus,  +--------+  | c  ipoc|  |ioii c p|  |   p o p|  |ic o   o|  |o  co ci|  |cop p ic|  +--------+
 Philippe Jing, 7369188, Cetury,  +--------+  |p c    c|  |ipcp c c|  |o ccipci|  | p ppp o|  | ipc cci|  | coio  i|  +--------+
 Pramod Soto, 6703514, Gamma Orianus,  +--------+  |i c p oc|  |ocop  cc|  |ic  cioo|  |    oopc|  |cii  oc |  |ipco oii|  +--------+
 Zhiyong Amadou, 2430320, Cetices,  +--------+  |    ipcc|  |o  o ccp|  | p ii p |  |poocco i|  |opc pppo|  | ci ci p|  +--------+
 Basanti Petrova, 7687275, Pisci II,  +--------+  | i po c |  | i  i  i|  |i  p  o |  |o po o c|  |opcoip  |  |c ooop  |  +--------+
 Xiaoli Paramar, 5343116, Jisci,  +--------+  |cio o cc|  |c po op |  |ppii ipp|  |iio   ip|  |ccooooo |  |ccipii p|  +--------+
 Annie Abdou, 8436273, Drang III,  +--------+  | p i  o |  |icipp io|  |o  oi c |  |i io p o|  |i  picii|  |opp p oi|  +--------+
 Ruth Mendoza, 3889227, Aurus II,  +--------+  | cc  c c|  |  c  pc |  |   occpc|  |c  o  po|  |ioc  ico|  |ii  c o |  +--------+
 Quan Solomon, 6351046, Satici,  +--------+  |i pcicip|  |  opcp p|  | p oo i |  |c pop co|  |iccpc i |  |ip   ip |  +--------+
 Yong Aden, 9644975, Dornus,  +--------+  |oii opic|  |pcoop pi|  |c opppp |  |i o ipop|  |  ip o p|  |p  ici  |  +--------+
 Mohsen Davis, 3568318, Phoenis,  +--------+  |p pcp ci|  |iiopopi |  |op ccpi |  | oiooc  |  |cccc cp |  |cc p i  |  +--------+
 Petra Ma, 2858407, Dores,  +--------+  |oc  o i |  | ppcpccp|  | o o cii|  |pp ooc  |  |      ci|  |pccccpoi|  +--------+
 Jessica Franco, 6189641, Gamma Lupius,  +--------+  |cpp oo i|  | ciicc  |  |cpio o o|  |  ipo  p|  |occc p  |  |  i   pc|  +--------+
 Vinod Fonseca, 5608730, Mardana,  +--------+  | cipo   |  |oooo   o|  |c popip |  |occ cc c|  | ci   o |  |pcc iipi|  +--------+
 Sebastian Chan, 4629626, Maronor III,  +--------+  |c pcoci |  |coic pi |  |pp oi   |  |  i cpoo|  |oc ccp o|  |i picpii|  +--------+
 Ruslan Xin, 5162896, Taurux,  +--------+  |ciii  co|  |p c  ip |  |  ioo   |  |co p   p|  | icccpii|  | p cc cp|  +--------+
 Stephanie Qi, 8776889, Alpha Erion,  +--------+  |cpcccoic|  |pipooo i|  |  i p co|  |c o  opo|  |o ppo  o|  |   cpoci|  +--------+
 Jeff Khalil, 3573590, Monater V,  +--------+  | opooo p|  |pp c oop|  |poppoco |  |o copopp|  |ii ooiii|  | icpoo o|  +--------+
 Enrique Gu, 3724456, Comeles,  +--------+  | p i p p|  | o o  p |  |ppc cc  |  |ocoi oic|  |ioc o ip|  |  pooioi|  +--------+
 Simone Ribeiro, 7896001, Corn Minor,  +--------+  |c   occp|  | piiip c|  |ci  oipi|  |ooio c o|  |icioc  i|  |p cc opi|  +--------+
 Svetlana Kazem, 9453622, Minicor Major,  +--------+  |   ocoip|  |pci cpio|  |o ioc  c|  |oopii pc|  |   oipio|  |po ip i |  +--------+
 Shahid Babu, 3105096, Gamma Scor,  +--------+  |iicic oi|  |c  o iop|  |pc coc c|  |c ccip  |  |opp  ioo|  |cccoioo |  +--------+
 Qing Javed, 9338175, Gamma Satices,  +--------+  |ccp iii |  |iicc o c|  |iiiioc c|  |oo oioo |  |  opip  |  |iiopcop |  +--------+
 Marcel Saeed, 3729723, Monater V,  +--------+  |o  iocp |  |pco   oc|  |i c oo o|  |ocp p o |  |oopi   p|  |   icp o|  +--------+
 Marianne Le, 9075127, Alpha Crustra,  +--------+  |c  pppii|  |po  oo p|  |c cpooci|  |o  popo |  |  i cc p|  |i  io  p|  +--------+
 Andre Jha, 8229883, Beta Corenus Major,  +--------+  |p cc   o|  |   ccp  |  |op  opip|  |icoocp  |  |    o  p|  | ioo i i|  +--------+
 Nikita Murphy, 2305629, Cenis Major,  +--------+  |iioocopp|  | iic   p|  |oicopo i|  |c co    |  |oppc c i|  | cppocip|  +--------+
 Maya Santos, 1359466, Berens V,  +--------+  |o p c  i|  |oppoocic|  |icoc iip|  |iicipc  |  |pp oi i |  | ipi  cc|  +--------+
 Chao Sasaki, 3609773, Beta Aris Minor,  +--------+  |ip i  oc|  |pipcoo o|  |cpioiocc|  |i    cpc|  | op p   |  |ocop ic |  +--------+
 Liliana Saad, 5607398, Alpha Doraco Minor,  +--------+  |ii  pi o|  |ocic cpi|  |c c o ii|  | i c  o |  |   ci   |  | i i ip |  +--------+
 Maryia Jan, 5521032, Beros Minor,  +--------+  |popcco  |  |oooii   |  | oi  ico|  |iop  cc |  |op  ppc |  |opcc ccp|  +--------+
